Compound,Channel,Experiment,Dose,Response
Ondansetron,Cav1.2,2,0.2,5.8
Ondansetron,Cav1.2,3,0.2,6.5
Ondansetron,Cav1.2,4,0.2,1.3
Ondansetron,Cav1.2,1,1,1
Ondansetron,Cav1.2,2,1,7.7
Ondansetron,Cav1.2,3,1,11.4
Ondansetron,Cav1.2,1,4,27.9
Ondansetron,Cav1.2,2,4,13.9
Ondansetron,Cav1.2,3,4,26.5
Ondansetron,Cav1.2,1,20,35.1
Ondansetron,Cav1.2,2,20,50.7
Ondansetron,Cav1.2,3,20,56.3
Ondansetron,KvLQT1/mink,1,0.2,0
Ondansetron,KvLQT1/mink,2,0.2,0
Ondansetron,KvLQT1/mink,3,0.2,0
Ondansetron,KvLQT1/mink,1,1,0
Ondansetron,KvLQT1/mink,2,1,0
Ondansetron,KvLQT1/mink,3,1,3
Ondansetron,KvLQT1/mink,1,4,4.8
Ondansetron,KvLQT1/mink,2,4,0.03
Ondansetron,KvLQT1/mink,3,4,8.5
Ondansetron,KvLQT1/mink,1,20,10.8
Ondansetron,KvLQT1/mink,2,20,9.3
Ondansetron,KvLQT1/mink,3,20,9.7
Ondansetron,Kv4.3,1,0.2,0
Ondansetron,Kv4.3,2,0.2,0
Ondansetron,Kv4.3,3,0.2,0
Ondansetron,Kv4.3,1,1,0
Ondansetron,Kv4.3,2,1,0
Ondansetron,Kv4.3,3,1,0
Ondansetron,Kv4.3,1,4,0
Ondansetron,Kv4.3,2,4,0
Ondansetron,Kv4.3,3,4,1.4
Ondansetron,Kv4.3,1,20,0.08
Ondansetron,Kv4.3,2,20,0
Ondansetron,Kv4.3,3,20,7.9
Ondansetron,Kv4.3,4,20,0
Ondansetron,Kir2.1,1,0.2,0
Ondansetron,Kir2.1,2,0.2,0
Ondansetron,Kir2.1,3,0.2,0
Ondansetron,Kir2.1,1,1,0
Ondansetron,Kir2.1,2,1,0
Ondansetron,Kir2.1,3,1,0
Ondansetron,Kir2.1,1,4,0
Ondansetron,Kir2.1,2,4,0
Ondansetron,Kir2.1,3,4,0
Ondansetron,Kir2.1,1,20,0.9
Ondansetron,Kir2.1,2,20,5.6
Ondansetron,Kir2.1,3,20,2.4
Propafenone,hERG,1,0.13,17.6
Propafenone,hERG,2,0.13,26.6
Propafenone,hERG,3,0.13,27.6
Propafenone,hERG,1,0.39,32
Propafenone,hERG,2,0.39,41.3
Propafenone,hERG,3,0.39,64.7
Propafenone,hERG,4,0.39,48.8
Propafenone,hERG,1,1.3,58.4
Propafenone,hERG,2,1.3,69.2
Propafenone,hERG,3,1.3,78.9
Propafenone,hERG,4,1.3,47.4
Propafenone,hERG,1,6.5,87.1
Propafenone,hERG,2,6.5,82.4
Propafenone,hERG,3,6.5,89.5
Propafenone,Nav1.5-peak,1,0.13,0
Propafenone,Nav1.5-peak,2,0.13,1.4
Propafenone,Nav1.5-peak,3,0.13,0.6
Propafenone,Nav1.5-peak,1,0.39,2.5
Propafenone,Nav1.5-peak,2,0.39,15.1
Propafenone,Nav1.5-peak,3,0.39,5.1
Propafenone,Nav1.5-peak,1,1.3,21.2
Propafenone,Nav1.5-peak,2,1.3,38.8
Propafenone,Nav1.5-peak,3,1.3,32.4
Propafenone,Nav1.5-peak,1,6.5,59.6
Propafenone,Nav1.5-peak,2,6.5,67.7
Propafenone,Nav1.5-peak,3,6.5,52.7
Propafenone,Nav1.5-late,1,0.13,4.4
Propafenone,Nav1.5-late,2,0.13,0.6
Propafenone,Nav1.5-late,3,0.13,0
Propafenone,Nav1.5-late,1,0.39,12.1
Propafenone,Nav1.5-late,2,0.39,3.2
Propafenone,Nav1.5-late,3,0.39,6.4
Propafenone,Nav1.5-late,1,1.3,34.2
Propafenone,Nav1.5-late,2,1.3,27.4
Propafenone,Nav1.5-late,3,1.3,36.9
Propafenone,Nav1.5-late,1,6.5,57.5
Propafenone,Nav1.5-late,2,6.5,42.9
Propafenone,Nav1.5-late,3,6.5,55.5
Propafenone,Nav1.5-late,4,6.5,78.3
Propafenone,Cav1.2,1,0.13,7.2
Propafenone,Cav1.2,2,0.13,8
Propafenone,Cav1.2,3,0.13,8.2
Propafenone,Cav1.2,1,0.39,26
Propafenone,Cav1.2,2,0.39,16.8
Propafenone,Cav1.2,3,0.39,20.5
Propafenone,Cav1.2,1,1.3,42.9
Propafenone,Cav1.2,2,1.3,49.1
Propafenone,Cav1.2,3,1.3,58.2
Propafenone,Cav1.2,1,6.5,68.4
Propafenone,Cav1.2,2,6.5,77.6
Propafenone,Cav1.2,3,6.5,79.5
Propafenone,KvLQT1/mink,1,0.13,0.1
Propafenone,KvLQT1/mink,2,0.13,1
Propafenone,KvLQT1/mink,3,0.13,0.5
Propafenone,KvLQT1/mink,1,0.39,0
Propafenone,KvLQT1/mink,2,0.39,2
Propafenone,KvLQT1/mink,3,0.39,3
Propafenone,KvLQT1/mink,1,1.3,0.3
Propafenone,KvLQT1/mink,2,1.3,3.2
Propafenone,KvLQT1/mink,3,1.3,7.2
Propafenone,KvLQT1/mink,1,6.5,19.9
Propafenone,KvLQT1/mink,2,6.5,18.4
Propafenone,KvLQT1/mink,3,6.5,34.3
Propafenone,Kv4.3,1,0.13,0
Propafenone,Kv4.3,2,0.13,0.6
Propafenone,Kv4.3,3,0.13,1.3
Propafenone,Kv4.3,1,0.39,0
Propafenone,Kv4.3,2,0.39,0
Propafenone,Kv4.3,3,0.39,1.2
Propafenone,Kv4.3,1,1.3,5
Propafenone,Kv4.3,2,1.3,15.1
Propafenone,Kv4.3,3,1.3,8.9
Propafenone,Kv4.3,1,6.5,18.8
Propafenone,Kv4.3,2,6.5,28.3
Propafenone,Kv4.3,3,6.5,15.7
Propafenone,Kir2.1,1,0.13,0
Propafenone,Kir2.1,2,0.13,0
Propafenone,Kir2.1,3,0.13,0
Propafenone,Kir2.1,1,0.39,0
Propafenone,Kir2.1,2,0.39,0
Propafenone,Kir2.1,3,0.39,0
Propafenone,Kir2.1,1,1.3,0
Propafenone,Kir2.1,2,1.3,0
Propafenone,Kir2.1,3,1.3,0
Propafenone,Kir2.1,1,6.5,5.3
Propafenone,Kir2.1,2,6.5,3.8
Propafenone,Kir2.1,3,6.5,1.1
Quinidine,hERG,1,0.3,47.6
Quinidine,hERG,2,0.3,37.9
Quinidine,hERG,3,0.3,50.4
Quinidine,hERG,1,0.9,86.7
Quinidine,hERG,2,0.9,71.6
Quinidine,hERG,3,0.9,68.2
Quinidine,hERG,1,2.7,97.1
Quinidine,hERG,2,2.7,85.2
Quinidine,hERG,3,2.7,83.6
Quinidine,hERG,1,5.4,100
Quinidine,hERG,2,5.4,89.3
Quinidine,hERG,3,5.4,85.1
Quinidine,Nav1.5-peak,1,0.3,0.3
Quinidine,Nav1.5-peak,2,0.3,0
Quinidine,Nav1.5-peak,3,0.3,0
Quinidine,Nav1.5-peak,1,0.9,0
Quinidine,Nav1.5-peak,2,0.9,0.3
Quinidine,Nav1.5-peak,3,0.9,2
Quinidine,Nav1.5-peak,1,2.7,4.2
Quinidine,Nav1.5-peak,2,2.7,11.2
Quinidine,Nav1.5-peak,3,2.7,15
Quinidine,Nav1.5-peak,1,5.4,26.5
Quinidine,Nav1.5-peak,2,5.4,16.4
Quinidine,Nav1.5-peak,3,5.4,24.1
Quinidine,Nav1.5-late,1,0.3,1.3
Quinidine,Nav1.5-late,2,0.3,5.6
Quinidine,Nav1.5-late,3,0.3,3.6
Quinidine,Nav1.5-late,1,0.9,0
Quinidine,Nav1.5-late,2,0.9,1.6
Quinidine,Nav1.5-late,3,0.9,3.1
Quinidine,Nav1.5-late,1,2.7,13.7
Quinidine,Nav1.5-late,2,2.7,19.7
Quinidine,Nav1.5-late,3,2.7,17.8
Quinidine,Nav1.5-late,1,5.4,27.7
Quinidine,Nav1.5-late,2,5.4,34.3
Quinidine,Nav1.5-late,3,5.4,33.5
Quinidine,Cav1.2,1,0.3,3.2
Quinidine,Cav1.2,2,0.3,3.4
Quinidine,Cav1.2,3,0.3,0.09
Quinidine,Cav1.2,1,0.9,9.4
Quinidine,Cav1.2,2,0.9,10.6
Quinidine,Cav1.2,3,0.9,10.3
Quinidine,Cav1.2,1,2.7,15.1
Quinidine,Cav1.2,2,2.7,15.8
Quinidine,Cav1.2,3,2.7,16.3
Quinidine,Cav1.2,1,5.4,23.2
Quinidine,Cav1.2,2,5.4,18.2
Quinidine,Cav1.2,3,5.4,19.1
Quinidine,KvLQT1/mink,1,0.3,0
Quinidine,KvLQT1/mink,2,0.3,0
Quinidine,KvLQT1/mink,3,0.3,0
Quinidine,KvLQT1/mink,4,0.3,6.2
Quinidine,KvLQT1/mink,1,0.9,13.1
Quinidine,KvLQT1/mink,2,0.9,11
Quinidine,KvLQT1/mink,3,0.9,15.7
Quinidine,KvLQT1/mink,1,2.7,25.1
Quinidine,KvLQT1/mink,2,2.7,33.8
Quinidine,KvLQT1/mink,3,2.7,20.8
Quinidine,KvLQT1/mink,1,5.4,48.9
Quinidine,KvLQT1/mink,2,5.4,49.2
Quinidine,KvLQT1/mink,3,5.4,68.4
Quinidine,Kv4.3,1,0.3,9.7
Quinidine,Kv4.3,2,0.3,4.7
Quinidine,Kv4.3,3,0.3,3.3
Quinidine,Kv4.3,1,0.9,12.4
Quinidine,Kv4.3,2,0.9,13.6
Quinidine,Kv4.3,3,0.9,17.6
Quinidine,Kv4.3,1,2.7,31.7
Quinidine,Kv4.3,2,2.7,50
Quinidine,Kv4.3,3,2.7,42.1
Quinidine,Kv4.3,1,5.4,63.1
Quinidine,Kv4.3,2,5.4,69.3
Quinidine,Kv4.3,3,5.4,60.3
Quinidine,Kir2.1,1,0.3,0
Quinidine,Kir2.1,2,0.3,0
Quinidine,Kir2.1,3,0.3,5.2
Quinidine,Kir2.1,1,0.9,0
Quinidine,Kir2.1,2,0.9,11
Quinidine,Kir2.1,3,0.9,0
Quinidine,Kir2.1,1,2.7,0
Quinidine,Kir2.1,2,2.7,0
Quinidine,Kir2.1,3,2.7,3
Quinidine,Kir2.1,1,5.4,0.4
Quinidine,Kir2.1,2,5.4,3.9
Quinidine,Kir2.1,3,5.4,12.5
Quinine,hERG,1,4,40.1
Quinine,hERG,2,4,46.7
Quinine,hERG,3,4,40.3
Quinine,hERG,1,12,74.5
Quinine,hERG,2,12,76.9
Quinine,hERG,3,12,65.1
Quinine,hERG,1,40,92.2
Quinine,hERG,2,40,93
Quinine,hERG,3,40,74.4
Quinine,hERG,1,200,97
Quinine,hERG,2,200,98.2
Quinine,hERG,3,200,89.2
Quinine,Nav1.5-peak,1,4,26.8
Quinine,Nav1.5-peak,2,4,6.7
Quinine,Nav1.5-peak,3,4,12.4
Quinine,Nav1.5-peak,1,12,36.6
Quinine,Nav1.5-peak,2,12,13.6
Quinine,Nav1.5-peak,3,12,34.4
Quinine,Nav1.5-peak,1,40,62
Quinine,Nav1.5-peak,2,40,60.7
Quinine,Nav1.5-peak,3,40,73.2
Quinine,Nav1.5-peak,1,200,88.6
Quinine,Nav1.5-peak,2,200,100
Quinine,Nav1.5-peak,3,200,84.4
Quinine,Nav1.5-late,1,4,44.9
Quinine,Nav1.5-late,2,4,44.8
Quinine,Nav1.5-late,3,4,54.6
Quinine,Nav1.5-late,1,12,46.8
Quinine,Nav1.5-late,2,12,52.7
Quinine,Nav1.5-late,3,12,60
Quinine,Nav1.5-late,1,40,60.6
Quinine,Nav1.5-late,2,40,59.6
Quinine,Nav1.5-late,3,40,79.6
Quinine,Nav1.5-late,1,200,81.6
Quinine,Nav1.5-late,2,200,79.8
Quinine,Nav1.5-late,3,200,87.6
Quinine,Nav1.5-late,4,200,79.7
Quinine,Cav1.2,1,4,18.1
Quinine,Cav1.2,2,4,15.8
Quinine,Cav1.2,3,4,12.7
Quinine,Cav1.2,1,12,30.7
Quinine,Cav1.2,2,12,37
Quinine,Cav1.2,3,12,18.2
Quinine,Cav1.2,1,40,63.4
Quinine,Cav1.2,2,40,61.4
Quinine,Cav1.2,3,40,52.1
Quinine,Cav1.2,1,200,94.1
Quinine,Cav1.2,2,200,87.6
Quinine,Cav1.2,3,200,89.4
Quinine,KvLQT1/mink,1,4,6.5
Quinine,KvLQT1/mink,2,4,5.7
Quinine,KvLQT1/mink,3,4,21.3
Quinine,KvLQT1/mink,1,12,22.8
Quinine,KvLQT1/mink,2,12,15.3
Quinine,KvLQT1/mink,3,12,21.6
Quinine,KvLQT1/mink,1,40,39.4
Quinine,KvLQT1/mink,2,40,69.1
Quinine,KvLQT1/mink,3,40,51.5
Quinine,KvLQT1/mink,1,200,78.7
Quinine,KvLQT1/mink,2,200,75.5
Quinine,KvLQT1/mink,3,200,96.6
Quinine,KvLQT1/mink,4,200,89.9
Quinine,Kv4.3,1,4,8.1
Quinine,Kv4.3,2,4,5.6
Quinine,Kv4.3,3,4,3.6
Quinine,Kv4.3,1,12,19.3
Quinine,Kv4.3,2,12,12.7
Quinine,Kv4.3,3,12,13.1
Quinine,Kv4.3,1,40,23.8
Quinine,Kv4.3,2,40,37.1
Quinine,Kv4.3,3,40,31
Quinine,Kv4.3,4,40,41.4
Quinine,Kv4.3,1,200,66.7
Quinine,Kv4.3,2,200,67.8
Quinine,Kv4.3,3,200,66.2
Quinine,Kv4.3,4,200,78.5
Quinine,Kv4.3,5,200,76.7
Quinine,Kir2.1,1,4,0
Quinine,Kir2.1,2,4,0
Quinine,Kir2.1,3,4,0
Quinine,Kir2.1,1,12,0
Quinine,Kir2.1,2,12,0
Quinine,Kir2.1,3,12,0
Quinine,Kir2.1,1,40,0
Quinine,Kir2.1,2,40,1.3
Quinine,Kir2.1,3,40,0
Quinine,Kir2.1,1,200,6.8
Quinine,Kir2.1,2,200,4.2
Quinine,Kir2.1,3,200,0
Ranolazine,hERG,1,0.575,6.5
Ranolazine,hERG,2,0.575,5.7
Ranolazine,hERG,3,0.575,2.5
Ranolazine,hERG,4,0.575,4.2
Ranolazine,hERG,1,2.3,39.8
Ranolazine,hERG,2,2.3,38.5
Ranolazine,hERG,3,2.3,28.1
Ranolazine,hERG,1,6.9,52.9
Ranolazine,hERG,2,6.9,55.9
Ranolazine,hERG,3,6.9,61.9
Ranolazine,hERG,1,23,64.5
Ranolazine,hERG,2,23,74.6
Ranolazine,hERG,3,23,70.3
Ranolazine,Nav1.5-peak,1,0.575,0
Ranolazine,Nav1.5-peak,2,0.575,0
Ranolazine,Nav1.5-peak,3,0.575,1.2
Ranolazine,Nav1.5-peak,1,2.3,0
Ranolazine,Nav1.5-peak,2,2.3,0
Ranolazine,Nav1.5-peak,3,2.3,2.9
Ranolazine,Nav1.5-peak,1,6.9,0
Ranolazine,Nav1.5-peak,2,6.9,4.4
Ranolazine,Nav1.5-peak,3,6.9,6.2
Ranolazine,Nav1.5-peak,1,23,13.2
Ranolazine,Nav1.5-peak,2,23,10
Ranolazine,Nav1.5-peak,3,23,28.9
Ranolazine,Nav1.5-late,1,0.575,6
Ranolazine,Nav1.5-late,2,0.575,7.1
Ranolazine,Nav1.5-late,3,0.575,4.5
Ranolazine,Nav1.5-late,1,2.3,18.8
Ranolazine,Nav1.5-late,2,2.3,23.9
Ranolazine,Nav1.5-late,3,2.3,30.1
Ranolazine,Nav1.5-late,1,6.9,36.5
Ranolazine,Nav1.5-late,2,6.9,58.4
Ranolazine,Nav1.5-late,3,6.9,48.7
Ranolazine,Nav1.5-late,1,23,58.9
Ranolazine,Nav1.5-late,2,23,79.7
Ranolazine,Nav1.5-late,3,23,78.3
Ranolazine,Cav1.2,1,0.575,0
Ranolazine,Cav1.2,2,0.575,0
Ranolazine,Cav1.2,3,0.575,0
Ranolazine,Cav1.2,1,2.3,0
Ranolazine,Cav1.2,2,2.3,0
Ranolazine,Cav1.2,3,2.3,0
Ranolazine,Cav1.2,1,6.9,0
Ranolazine,Cav1.2,2,6.9,0
Ranolazine,Cav1.2,3,6.9,0
Ranolazine,Cav1.2,1,23,6.8
Ranolazine,Cav1.2,2,23,0.6
Ranolazine,Cav1.2,3,23,0
Ranolazine,KvLQT1/mink,1,0.575,0.7
Ranolazine,KvLQT1/mink,2,0.575,0
Ranolazine,KvLQT1/mink,3,0.575,0
Ranolazine,KvLQT1/mink,1,2.3,1
Ranolazine,KvLQT1/mink,2,2.3,0
Ranolazine,KvLQT1/mink,3,2.3,0.8
Ranolazine,KvLQT1/mink,1,6.9,3
Ranolazine,KvLQT1/mink,2,6.9,0
Ranolazine,KvLQT1/mink,3,6.9,0.9
Ranolazine,KvLQT1/mink,1,23,2.5
Ranolazine,KvLQT1/mink,2,23,0
Ranolazine,KvLQT1/mink,3,23,3.8
Ranolazine,Kv4.3,1,2.3,1.2
Ranolazine,Kv4.3,2,2.3,9
Ranolazine,Kv4.3,3,2.3,8
Ranolazine,Kv4.3,1,6.9,15.7
Ranolazine,Kv4.3,2,6.9,5.2
Ranolazine,Kv4.3,3,6.9,6.9
Ranolazine,Kv4.3,1,23,9.3
Ranolazine,Kv4.3,2,23,11.4
Ranolazine,Kv4.3,3,23,13.7
Ranolazine,Kv4.3,1,69,25.2
Ranolazine,Kv4.3,2,69,28.8
Ranolazine,Kv4.3,3,69,25.4
Ranolazine,Kir2.1,1,0.575,0
Ranolazine,Kir2.1,2,0.575,0.4
Ranolazine,Kir2.1,3,0.575,1.2
Ranolazine,Kir2.1,1,2.3,0
Ranolazine,Kir2.1,2,2.3,3
Ranolazine,Kir2.1,3,2.3,0
Ranolazine,Kir2.1,1,6.9,0
Ranolazine,Kir2.1,2,6.9,6.2
Ranolazine,Kir2.1,3,6.9,0
Ranolazine,Kir2.1,1,23,0
Ranolazine,Kir2.1,2,23,0.8
Ranolazine,Kir2.1,3,23,0
Ritonavir,hERG,1,0.4,5.6
Ritonavir,hERG,2,0.4,7.4
Ritonavir,hERG,3,0.4,10.3
Ritonavir,hERG,1,1.2,13.9
Ritonavir,hERG,2,1.2,12.2
Ritonavir,hERG,3,1.2,18
Ritonavir,hERG,1,4,52.2
Ritonavir,hERG,2,4,31.7
Ritonavir,hERG,3,4,39.5
Ritonavir,hERG,4,4,60.7
Ritonavir,hERG,1,20,78.7
Ritonavir,hERG,2,20,84.1
Ritonavir,hERG,3,20,68.5
Ritonavir,hERG,4,20,82.6
Ritonavir,Nav1.5-peak,1,0.4,2.3
Ritonavir,Nav1.5-peak,2,0.4,0
Ritonavir,Nav1.5-peak,3,0.4,0
Ritonavir,Nav1.5-peak,1,1.2,16.8
Ritonavir,Nav1.5-peak,2,1.2,16.1
Ritonavir,Nav1.5-peak,3,1.2,12.9
Ritonavir,Nav1.5-peak,1,4,24.4
Ritonavir,Nav1.5-peak,2,4,28.2
Ritonavir,Nav1.5-peak,3,4,26.2
Ritonavir,Nav1.5-peak,4,4,31.8
Ritonavir,Nav1.5-peak,5,4,35.5
Ritonavir,Nav1.5-peak,1,20,30
Ritonavir,Nav1.5-peak,2,20,41.4
Ritonavir,Nav1.5-peak,3,20,48.2
Ritonavir,Nav1.5-peak,4,20,47.2
Ritonavir,Nav1.5-late,1,0.4,0
Ritonavir,Nav1.5-late,2,0.4,3.8
Ritonavir,Nav1.5-late,3,0.4,1.5
Ritonavir,Nav1.5-late,1,1.2,20.7
Ritonavir,Nav1.5-late,2,1.2,25.6
Ritonavir,Nav1.5-late,3,1.2,31.1
Ritonavir,Nav1.5-late,1,4,44.9
Ritonavir,Nav1.5-late,2,4,55.5
Ritonavir,Nav1.5-late,3,4,44
Ritonavir,Nav1.5-late,1,20,45.5
Ritonavir,Nav1.5-late,2,20,63.5
Ritonavir,Nav1.5-late,3,20,58.7
Ritonavir,Nav1.5-late,4,20,82.1
Ritonavir,Cav1.2,1,0.4,0.6
Ritonavir,Cav1.2,2,0.4,0
Ritonavir,Cav1.2,3,0.4,2.4
Ritonavir,Cav1.2,1,1.2,14.2
Ritonavir,Cav1.2,2,1.2,9.6
Ritonavir,Cav1.2,3,1.2,12.9
Ritonavir,Cav1.2,1,4,25.1
Ritonavir,Cav1.2,2,4,21.4
Ritonavir,Cav1.2,3,4,32.8
Ritonavir,Cav1.2,1,20,69.9
Ritonavir,Cav1.2,2,20,76.3
Ritonavir,Cav1.2,3,20,83
Ritonavir,KvLQT1/mink,1,0.4,6.1
Ritonavir,KvLQT1/mink,2,0.4,0
Ritonavir,KvLQT1/mink,3,0.4,0
Ritonavir,KvLQT1/mink,4,0.4,6.7
Ritonavir,KvLQT1/mink,5,0.4,0
Ritonavir,KvLQT1/mink,1,1.2,10
Ritonavir,KvLQT1/mink,2,1.2,1.2
Ritonavir,KvLQT1/mink,3,1.2,0
Ritonavir,KvLQT1/mink,4,1.2,0
Ritonavir,KvLQT1/mink,1,4,18.7
Ritonavir,KvLQT1/mink,2,4,0
Ritonavir,KvLQT1/mink,3,4,0
Ritonavir,KvLQT1/mink,1,20,24.5
Ritonavir,KvLQT1/mink,2,20,24.1
Ritonavir,KvLQT1/mink,3,20,5.8
Ritonavir,Kv4.3,1,0.4,0
Ritonavir,Kv4.3,2,0.4,3.2
Ritonavir,Kv4.3,3,0.4,0.8
Ritonavir,Kv4.3,1,1.2,15
Ritonavir,Kv4.3,2,1.2,8.1
Ritonavir,Kv4.3,3,1.2,6.6
Ritonavir,Kv4.3,1,4,1.1
Ritonavir,Kv4.3,2,4,13.9
Ritonavir,Kv4.3,3,4,7.2
Ritonavir,Kv4.3,1,20,20.2
Ritonavir,Kv4.3,2,20,19.7
Ritonavir,Kv4.3,3,20,17.6
Ritonavir,Kir2.1,1,0.4,9.9
Ritonavir,Kir2.1,2,0.4,0
Ritonavir,Kir2.1,3,0.4,1.5
Ritonavir,Kir2.1,1,1.2,0
Ritonavir,Kir2.1,2,1.2,27.3
Ritonavir,Kir2.1,3,1.2,0
Ritonavir,Kir2.1,1,4,0
Ritonavir,Kir2.1,2,4,13
Ritonavir,Kir2.1,3,4,0
Ritonavir,Kir2.1,1,20,0
Ritonavir,Kir2.1,2,20,0
Ritonavir,Kir2.1,3,20,0
Rufinamide,hERG,1,80,0
Rufinamide,hERG,2,80,3.9
Rufinamide,hERG,3,80,0
Rufinamide,hERG,1,240,2.7
Rufinamide,hERG,2,240,0
Rufinamide,hERG,3,240,0
Rufinamide,Nav1.5-peak,1,80,0.9
Rufinamide,Nav1.5-peak,2,80,0
Rufinamide,Nav1.5-peak,3,80,0
Rufinamide,Nav1.5-peak,1,240,2
Rufinamide,Nav1.5-peak,2,240,1.8
Rufinamide,Nav1.5-peak,3,240,13.4
Rufinamide,Nav1.5-late,1,80,0
Rufinamide,Nav1.5-late,2,80,8.2
Rufinamide,Nav1.5-late,3,80,0
Rufinamide,Nav1.5-late,1,240,13.2
Rufinamide,Nav1.5-late,2,240,10.2
Rufinamide,Nav1.5-late,3,240,10.4
Rufinamide,Cav1.2,1,80,24.9
Rufinamide,Cav1.2,2,80,27.3
Rufinamide,Cav1.2,3,80,21.7
Rufinamide,Cav1.2,1,240,51.1
Rufinamide,Cav1.2,2,240,47.1
Rufinamide,Cav1.2,3,240,45
Rufinamide,KvLQT1/mink,1,80,0.4
Rufinamide,KvLQT1/mink,2,80,0.2
Rufinamide,KvLQT1/mink,3,80,1.7
Rufinamide,KvLQT1/mink,1,240,1.3
Rufinamide,KvLQT1/mink,2,240,0
Rufinamide,KvLQT1/mink,3,240,0
Rufinamide,KvLQT1/mink,4,240,4.8
Rufinamide,Kv4.3,1,80,0
Rufinamide,Kv4.3,2,80,0
Rufinamide,Kv4.3,3,80,0.2
Rufinamide,Kv4.3,1,240,0
Rufinamide,Kv4.3,2,240,1.3
Rufinamide,Kv4.3,3,240,3.5
Rufinamide,Kir2.1,1,80,0
Rufinamide,Kir2.1,2,80,0
Rufinamide,Kir2.1,3,80,0
Rufinamide,Kir2.1,1,240,0
Rufinamide,Kir2.1,2,240,0
Rufinamide,Kir2.1,3,240,0
Saquinavir,hERG,1,0.4,7.1
Saquinavir,hERG,2,0.4,18.4
Saquinavir,hERG,3,0.4,12.7
